"","Player_Id","Player_Name","hard_Hitting_Ability_17","Finisher_17","Fast_Scoring_ability_17","Consistency_bat_17","RunsBetweenWicket_17","hard_Hitting_Ability_17_16","Finisher_17_16","Fast_Scoring_ability_17_16","Consistency_bat_17_16","RunsBetweenWicket_17_16","hard_Hitting_Ability_17_16_15","Finisher_17_16_15","Fast_Scoring_ability_17_16_15","Consistency_bat_17_16_15","RunsBetweenWicket_17_16_15","Economy_17","Wicket_Taking_Ability_17","Ball_Consistency_17","Crucial_Wicket_Taking_Ability_17","Short_Performance_Index_17","Economy_17_16","Wicket_Taking_Ability_17_16","Ball_Consistency_17_16","Crucial_Wicket_Taking_Ability_17_16","Short_Performance_Index_17_16","Economy_17_16_15","Wicket_Taking_Ability_17_16_15","Ball_Consistency_17_16_15","Crucial_Wicket_Taking_Ability_17_16_15","Short_Performance_Index_17_16_15"
"339",339,"KK Nair",0.838427947598253,0,1.22707423580786,23.4166666666667,0.483695652173913,1.48217636022514,0.04,1.19699812382739,29,-0.405333333333333,1.42647058823529,0.0810810810810811,1.20441176470588,25.59375,-0.310699588477366,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"340",340,"GH Vihari",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.66666666666667,0,1.08333333333333,9.75,-0.875,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"341",341,"MDKJ Perera",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"342",342,"R Shukla",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"343",343,"B Laughlin",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"344",344,"AS Rajpoot",0.571428571428571,0,0.571428571428571,4,0,1.42857142857143,0,0.571428571428571,4,-1.2,1.42857142857143,0,0.571428571428571,4,-1.2,8.41379310344828,21.75,30.5,0,0.8,8.94339622641509,22.7142857142857,33.8571428571429,0,0.777777777777778,8.94339622641509,22.7142857142857,33.8571428571429,0,0.777777777777778
"345",345,"M Vohra",0.858823529411765,0,1.34705882352941,25.4444444444444,0.601449275362319,1.37254901960784,-0.0625,1.27450980392157,26,-0.135135135135135,1.18251928020566,-0.0434782608695652,1.2133676092545,21.4545454545455,0.0404040404040404,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"346",346,"JD Unadkat",0,1,0.4,Inf,0.4,0,1,0.4,Inf,0.4,0,1,0.4,Inf,0.4,7.35483870967742,11.625,14.25,0.0833333333333333,1.72727272727273,7.89261744966443,12.4166666666667,16.3333333333333,0.0769230769230769,1.58333333333333,8.0126582278481,13.1666666666667,17.5833333333333,0.0714285714285714,1.46153846153846
"347",347,"Mohammed Shami",1.16666666666667,0.333333333333333,1.5,9,0.444444444444444,1.42857142857143,0.5,1.35714285714286,9.5,-0.1,1.42857142857143,0.5,1.35714285714286,9.5,-0.1,9.67272727272727,33,53.2,0,0.625,10.018691588785,32.1,53.6,0,0.625,10.018691588785,32.1,53.6,0,0.625
"348",348,"BMAJ Mendis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"349",349,"R Rampaul",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"350",350,"CH Morris",0.989690721649485,0.375,1.58762886597938,30.8,0.763157894736842,1.4218009478673,0.4,1.65402843601896,49.8571428571429,0.324503311258278,1.27906976744186,0.5,1.64728682170543,53.125,0.494791666666667,7.77777777777778,15.75,20.4166666666667,0.111111111111111,1,7.67170626349892,18.52,23.68,0.0476190476190476,1.05,7.83356070941337,18.7948717948718,24.5384615384615,0.0625,1.03333333333333
"351",351,"SV Samson",0.88,0,1.40363636363636,29.6923076923077,0.642857142857143,0.962962962962963,0.142857142857143,1.2537037037037,29.4347826086957,0.360091743119266,0.963172804532578,0.128205128205128,1.24787535410765,26.6969696969697,0.352631578947368,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"352",352,"SMSM Senanayake",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
