"","Player_Id","Player_Name","MVPI_17","Batting_index_17","Bowling_index_17","All_rounder_index_17","MVPI_17_16","Batting_index_17_16","Bowling_index_17_16","All_rounder_index_17_16","MVPI_17_16_15","Batting_index_17_16_15","Bowling_index_17_16_15","All_rounder_index_17_16_15","Batting_index_17_rank","Bowling_index_17_rank","All_rounder_index_17_rank","Batting_index_17_16_rank","Bowling_index_17_16_rank","All_rounder_index_17_16_rank","Batting_index_17_16_15_rank","Bowling_index_17_16_15_rank","All_rounder_index_17_16_15_rank"
"19",67,"PP Chawla",12.4458972863337,0.820858889761683,11.2309918247743,0.0102856651588156,63.5793252942197,3.09124125074827,10.7208276899038,0.0114149963435612,152.508073326839,4.3067929995158,15.645089996704,0.0120914913603592,118,47,92,108,66,86,101,67,78
"20",79,"SS Tiwary",0,0.553219658815964,0,0.000536375843607711,440.11694647346,14.5593351528089,0,0.0123400145905417,829.326963408765,21.2647147640522,0,0.0177212360081453,122,117,141,19,119.5,75,4,119.5,34
"21",80,"DS Kulkarni",4.21244684186069,0.137156103886246,19.952449777511,0.0169921087077558,105.203382601943,11.3025811329909,10.2088038621304,0.0179546135140502,113.188746331125,4.45372683661043,15.1270778907174,0.0119324255354343,139,12,39,40,71,33,98,72,81
"22",84,"I Sharma",4.9168956043956,1.71205363335477,2.27426494877151,0.00358160199730152,4.77638435310201,1.80439217426661,3.77101279095347,0.00462293990725476,4.75014844861089,1.80111111517921,4.39133692655953,0.0038874643859253,106,90,133,115,91,137,119,91,138
"23",85,"AM Rahane",681.24315126851,9.67405707998855,0,0.00937951217874955,1689.47875492782,13.5783001372256,0,0.0115085215121098,2951.91286108168,15.5086647143248,0,0.0129243542941073,50,117,101,27,119.5,85,16,119.5,70
"24",87,"MK Tiwary",855.221342658964,17.3752684675172,0,0.01684624567052,782.042474523099,18.1665002487222,0,0.0153973293268862,838.285293523757,16.4112714910079,0,0.0136765537893572,11,117,40,9,119.5,50,13,119.5,62
"25",88,"KD Karthik",877.922464893723,15.1053608070078,0,0.0146454496270042,1380.30195079052,13.1046308691778,0,0.0111070549878864,1493.57444123439,10.9581688440093,0,0.00913213736730075,16,117,50,28,119.5,89,46,119.5,112
"26",89,"R Bhatia",24.6992055129682,6.12506228238725,10.9720735793672,0.0152095951377437,105.316231604942,10.0187442905477,13.8802371550121,0.0198783806170093,89.7926494421758,6.72605094896057,24.0496138684426,0.0186750742857537,77,50,46,54,27,22,87,19,29
"27",96,"MK Pandey",1064.35512436225,18.5119092521805,0,0.01794827928418,1407.29822077347,15.8166656171012,0,0.0134056866223793,1750.11198643337,14.0737588950925,0,0.0117285562336008,8,117,36,17,119.5,66,20,119.5,83
"28",100,"SE Marsh",574.175446428571,12.4826663634698,0,0.0121026080589935,827.226296975439,12.8561563859051,0,0.0108964561716094,970.435248991884,11.8624200247064,0,0.00988570724874899,23,117,69,30,119.5,92,37,119.5,104
